id,user_id,session_id,explanation_given,was_needed,was_helpful,would_have_been_needed,created_at
1,4,16,False,,,False,2025-08-19 11:11:41.596067
2,4,17,False,,,True,2025-08-19 11:13:48.023123
3,4,21,True,True,True,,2025-08-19 11:21:23.193671
4,4,23,True,True,True,,2025-08-19 11:24:25.199422
5,4,24,True,True,False,,2025-08-19 11:26:25.380120
6,4,25,True,True,True,,2025-08-19 11:29:01.012489
7,7,28,True,True,True,,2025-08-22 15:00:20.052017
8,7,29,True,True,True,,2025-08-22 15:03:04.531789
9,10,37,False,,,True,2025-08-22 23:27:35.783424
10,11,53,False,,,False,2025-08-24 14:12:56.334058
11,11,54,True,True,True,,2025-08-24 14:18:24.172511
12,14,66,False,,,True,2025-08-25 18:51:04.243227
13,14,68,False,,,False,2025-08-25 18:56:24.729125
14,14,69,True,True,True,,2025-08-25 19:00:05.149340
15,14,70,True,True,True,,2025-08-25 19:03:14.412101
16,14,71,True,True,False,,2025-08-25 19:05:48.919559
17,14,72,True,True,False,,2025-08-25 19:08:29.373165
18,14,73,True,True,True,,2025-08-25 19:15:43.264915
19,14,74,True,True,False,,2025-08-25 19:18:17.716354
20,13,75,False,,,False,2025-08-25 20:18:04.680426
21,13,77,False,,,False,2025-08-25 20:33:45.526416
22,13,78,False,,,True,2025-08-25 20:36:01.479117
23,13,79,False,,,True,2025-08-25 20:41:39.983469
24,13,80,False,,,False,2025-08-25 20:47:28.134028
25,13,82,False,,,True,2025-08-25 21:02:55.129558
26,13,84,False,,,False,2025-08-25 21:08:49.566408
27,13,86,False,,,False,2025-08-25 21:13:00.877016
28,15,87,False,,,False,2025-08-27 20:21:25.297147
29,15,90,True,False,,,2025-08-27 20:28:23.767623
30,15,91,False,,,False,2025-08-27 20:32:55.310352
31,15,92,True,True,True,,2025-08-27 20:37:26.162931
32,15,93,True,False,,,2025-08-27 20:40:08.968370
33,16,95,True,True,True,,2025-08-27 20:46:06.038284
34,15,96,True,True,True,,2025-08-27 20:46:26.006693
35,16,97,False,,,False,2025-08-27 20:49:03.104425
36,15,98,True,False,,,2025-08-27 20:52:20.056092
37,16,99,True,False,,,2025-08-27 20:54:09.787521
38,15,100,True,False,,,2025-08-27 20:55:34.641428
39,16,101,True,True,True,,2025-08-27 20:58:11.934277
40,15,102,True,True,False,,2025-08-27 20:59:30.653053
41,16,104,True,False,,,2025-08-27 21:03:54.625169
42,16,106,True,True,True,,2025-08-27 21:11:26.112425
43,16,107,False,,,False,2025-08-27 21:14:28.814235
44,18,108,True,True,True,,2025-08-28 17:34:01.686729
45,18,109,True,True,True,,2025-08-28 17:37:02.817742
46,18,110,True,True,True,,2025-08-28 17:39:22.777248
47,18,112,True,True,True,,2025-08-28 17:43:24.435479
48,18,113,True,True,True,,2025-08-28 17:46:57.077307
49,18,114,True,True,True,,2025-08-28 17:49:54.824819
50,18,115,True,True,True,,2025-08-28 17:55:31.973427
51,18,116,True,True,True,,2025-08-28 18:00:14.131281
52,19,117,False,,,True,2025-08-29 12:19:08.958803
53,19,118,False,,,True,2025-08-29 12:21:36.082533
54,19,119,False,,,True,2025-08-29 12:25:03.149749
55,19,120,False,,,True,2025-08-29 12:26:16.331109
56,19,121,True,True,True,,2025-08-29 12:29:11.051000
57,19,122,True,True,True,,2025-08-29 12:32:50.102682
58,19,123,True,True,True,,2025-08-29 12:36:33.105549
59,19,124,True,True,True,,2025-08-29 12:41:30.277447
60,19,123,True,True,True,,2025-08-29 12:46:48.627326
61,19,124,True,True,True,,2025-08-29 12:47:12.698041
62,19,122,True,True,True,,2025-08-29 12:47:34.455773
63,20,125,False,,,False,2025-08-29 13:11:10.723351
64,20,126,True,False,,,2025-08-29 13:14:14.947615
65,20,127,True,False,,,2025-08-29 13:18:55.461400
66,20,128,True,False,,,2025-08-29 13:22:15.190231
67,20,129,True,True,True,,2025-08-29 13:24:55.391955
68,20,130,True,False,,,2025-08-29 13:28:01.836602
69,20,132,True,True,True,,2025-08-29 13:33:14.080018
70,21,136,False,,,False,2025-08-29 13:59:49.844882
71,21,137,False,,,False,2025-08-29 14:02:37.500592
72,21,136,False,,,False,2025-08-29 14:17:16.911454
73,21,138,False,,,False,2025-08-29 14:17:35.134183
74,21,137,False,,,False,2025-08-29 14:18:05.788643
75,21,139,False,,,False,2025-08-29 14:24:35.679056
76,21,140,False,,,False,2025-08-29 14:26:33.000085
77,21,141,True,False,,,2025-08-29 14:29:22.633585
78,21,143,False,,,False,2025-08-29 14:33:39.072844
79,21,144,False,,,True,2025-08-29 14:37:40.329866
80,21,145,False,,,False,2025-08-29 14:40:50.164084
81,22,146,False,,,True,2025-08-29 16:01:25.235393
82,22,147,False,,,False,2025-08-29 16:03:56.729741
83,22,148,False,,,True,2025-08-29 16:06:33.419101
84,22,149,False,,,True,2025-08-29 16:08:29.293931
85,22,150,False,,,True,2025-08-29 16:11:12.447878
86,22,151,False,,,True,2025-08-29 16:13:04.712186
87,22,152,False,,,True,2025-08-29 16:15:01.494765
88,22,153,False,,,True,2025-08-29 16:17:16.499476
89,23,156,True,True,True,,2025-08-29 18:31:17.002012
90,23,157,True,True,False,,2025-08-29 18:35:05.336311
91,23,158,True,True,True,,2025-08-29 18:38:21.128129
92,23,160,True,True,True,,2025-08-29 18:42:17.556635
93,23,161,True,True,True,,2025-08-29 18:44:41.624121
94,23,162,True,True,False,,2025-08-29 18:47:57.871738
95,24,164,True,True,True,,2025-08-29 19:14:50.022068
96,24,165,True,True,True,,2025-08-29 19:17:37.634634
97,24,166,True,True,True,,2025-08-29 19:19:35.293278
98,24,167,True,True,True,,2025-08-29 19:22:14.877774
99,24,168,True,True,True,,2025-08-29 19:24:39.720956
100,24,169,True,True,True,,2025-08-29 19:28:04.120876
101,24,170,True,True,True,,2025-08-29 19:30:22.625724
102,24,171,True,True,True,,2025-08-29 19:34:32.438672
